AGS,GEN,treatment,treated_0,treated_10,treated_20,treated_30,treated_50,treated_100
09190148,Schongau,None,0,0,0,0,0,0
09777152,Mauerstetten,None,0,0,0,0,0,0
09181131,Obermeitingen,100,0,0,0,0,0,1
09181116,Egling a.d. Paar,100,0,0,0,0,0,1
09175127,Markt Schwaben,None,0,0,0,0,0,0
09772151,Großaitingen,100,0,0,0,0,0,1
09190126,Habach,None,0,0,0,0,0,0
09182132,Tegernsee,None,0,0,0,0,0,0
09577173,Treuchtlingen,10,0,1,1,1,1,1
09271127,Iggensbach,None,0,0,0,0,0,0
16076034,Kauern,100,0,0,0,0,0,1
09176123,Eichstätt,30,0,0,0,1,1,1
09271116,Bernried,None,0,0,0,0,0,0
09187116,Babensham,None,0,0,0,0,0,0
09189152,Tittmoning,None,0,0,0,0,0,0
16077011,Göpfersdorf,None,0,0,0,0,0,0
09376112,Altendorf,None,0,0,0,0,0,0
09176116,Böhmfeld,100,0,0,0,0,0,1
09375183,Pfatter,None,0,0,0,0,0,0
09278172,Perkam,None,0,0,0,0,0,0
09183116,Erharting,None,0,0,0,0,0,0
09376168,Steinberg am See,None,0,0,0,0,0,0
16077008,Göhren,100,0,0,0,0,0,1
14627010,Coswig,None,0,0,0,0,0,0
12067520,Wendisch Rietz,None,0,0,0,0,0,0
07233232,Ormont,100,0,0,0,0,0,1
14523080,Eichigt,100,0,0,0,0,0,1
05366044,Zülpich,50,0,0,0,0,1,1
14628270,Pirna,None,0,0,0,0,0,0
14628080,Dohna,None,0,0,0,0,0,0
14628160,Heidenau,None,0,0,0,0,0,0
14522380,Mühlau,None,0,0,0,0,0,0
14522330,Lichtenau,None,0,0,0,0,0,0
14521210,Geyer,None,0,0,0,0,0,0
14521230,Gornsdorf,None,0,0,0,0,0,0
14521490,Pockau,None,0,0,0,0,0,0
14522540,Striegistal,None,0,0,0,0,0,0
14625100,Demitz-Thumitz,None,0,0,0,0,0,0
16075018,Dreba,20,0,0,1,1,1,1
16071013,Döbritschen,30,0,0,0,1,1,1
16066081,Vachdorf,100,0,0,0,0,0,1
16074053,Lippersdorf-Erdmannsdorf,20,0,0,1,1,1,1
09476189,Wilhelmsthal,10,0,1,1,1,1,1
16071027,Hammerstedt,50,0,0,0,0,1,1
16073017,Döschnitz,50,0,0,0,0,1,1
16069009,Ehrenberg,100,0,0,0,0,0,1
09475146,Lichtenberg,20,0,0,1,1,1,1
16067085,Günthersleben-Wechmar,100,0,0,0,0,0,1
09477117,Grafengehaig,20,0,0,1,1,1,1
16072006,Goldisthal,100,0,0,0,0,0,1
16067065,Tambach-Dietharz/Thür. Wald,100,0,0,0,0,0,1
16069025,Kloster Veßra,100,0,0,0,0,0,1
09477127,Ködnitz,20,0,0,1,1,1,1
09474160,Poxdorf,30,0,0,0,1,1,1
09572126,Gremsdorf,100,0,0,0,0,0,1
09573130,Veitsbronn,50,0,0,0,0,1,1
09373155,Postbauer-Heng,50,0,0,0,0,1,1
09574164,Winkelhaid,30,0,0,0,1,1,1
09472176,Plankenfels,0,1,1,1,1,1,1
09474156,Obertrubach,10,0,1,1,1,1,1
09571146,Flachslanden,100,0,0,0,0,0,1
16074074,Rausdorf,0,1,1,1,1,1,1
09572131,Heroldsberg,0,1,1,1,1,1,1
09471150,Kemmern,100,0,0,0,0,0,1
09575145,Markt Erlbach,100,0,0,0,0,0,1
09371132,Kastl,100,0,0,0,0,0,1
09477139,Marktschorgast,50,0,0,0,0,1,1
09471131,Frensdorf,50,0,0,0,0,1,1
09572143,Mühlhausen,100,0,0,0,0,0,1
09474123,Eggolsheim,20,0,0,1,1,1,1
16069051,Themar,100,0,0,0,0,0,1
09473166,Sonnefeld,50,0,0,0,0,1,1
08116046,Neuffen,None,0,0,0,0,0,0
08335066,Reichenau,None,0,0,0,0,0,0
08335100,Rielasingen-Worblingen,None,0,0,0,0,0,0
08335026,Gailingen am Hochrhein,None,0,0,0,0,0,0
08335028,Gottmadingen,None,0,0,0,0,0,0
08335035,Hilzingen,None,0,0,0,0,0,0
08335080,Tengen,None,0,0,0,0,0,0
08125098,Untergruppenbach,20,0,0,1,1,1,1
08119087,Aspach,50,0,0,0,0,1,1
09772147,Gersthofen,30,0,0,0,1,1,1
08119042,Leutenbach,100,0,0,0,0,0,1
08116070,Weilheim an der Teck,None,0,0,0,0,0,0
08118015,Erligheim,30,0,0,0,1,1,1
08116018,Erkenbrechtsweiler,None,0,0,0,0,0,0
08117018,Ebersbach an der Fils,None,0,0,0,0,0,0
08416026,Nehren,None,0,0,0,0,0,0
08425098,Rechtenstein,None,0,0,0,0,0,0
08415090,Hohenstein,None,0,0,0,0,0,0
08425008,Amstetten,None,0,0,0,0,0,0
08119076,Urbach,100,0,0,0,0,0,1
08415019,Eningen unter Achalm,None,0,0,0,0,0,0
08115051,Weil im Schönbuch,None,0,0,0,0,0,0
08118048,Ludwigsburg,50,0,0,0,0,1,1
08119069,Spiegelberg,50,0,0,0,0,1,1
08415073,Trochtelfingen,None,0,0,0,0,0,0
08125102,Weinsberg,10,0,1,1,1,1,1
08117019,Eislingen/Fils,None,0,0,0,0,0,0
08117055,Wangen,None,0,0,0,0,0,0
07334022,Neupotz,50,0,0,0,0,1,1
08317040,Haslach im Kinzigtal,None,0,0,0,0,0,0
08315015,Breisach am Rhein,None,0,0,0,0,0,0
08336094,Wembach,None,0,0,0,0,0,0
08316043,Teningen,None,0,0,0,0,0,0
08315073,Merzhausen,None,0,0,0,0,0,0
07337022,Eschbach,100,0,0,0,0,0,1
07340021,Hirschthal,None,0,0,0,0,0,0
08327049,Trossingen,None,0,0,0,0,0,0
08125038,Güglingen,20,0,0,1,1,1,1
08237072,Wörnersberg,None,0,0,0,0,0,0
07337014,Bornheim,50,0,0,0,0,1,1
07337083,Wernersberg,100,0,0,0,0,0,1
08115015,Gärtringen,None,0,0,0,0,0,0
09778121,Breitenbrunn,None,0,0,0,0,0,0
09780127,Missen-Wilhams,None,0,0,0,0,0,0
09776118,Maierhöfen,None,0,0,0,0,0,0
09775132,Kellmünz a.d. Iller,None,0,0,0,0,0,0
09778139,Fellheim,None,0,0,0,0,0,0
09778150,Heimertingen,None,0,0,0,0,0,0
09780147,Wildpoldsried,None,0,0,0,0,0,0
08436004,Aitrach,None,0,0,0,0,0,0
08425140,Balzheim,None,0,0,0,0,0,0
08426043,Erlenmoos,None,0,0,0,0,0,0
09780134,Ofterschwang,None,0,0,0,0,0,0
09775142,Osterberg,None,0,0,0,0,0,0
08436014,Bergatreute,None,0,0,0,0,0,0
09181115,Eching am Ammersee,None,0,0,0,0,0,0
06634027,Bad Zwesten,100,0,0,0,0,0,1
09277121,Gangkofen,None,0,0,0,0,0,0
16077031,Mehna,100,0,0,0,0,0,1
16076087,Zeulenroda-Triebes,50,0,0,0,0,1,1
03353021,Kakenstorf,30,0,0,0,1,1,1
09275124,Bad Griesbach i. Rottal,None,0,0,0,0,0,0
14730020,Bad Düben,100,0,0,0,0,0,1
03256025,Rehburg-Loccum,30,0,0,0,1,1,1
16075046,Hirschberg,50,0,0,0,0,1,1
09372158,Schorndorf,None,0,0,0,0,0,0
09278144,Laberweinting,None,0,0,0,0,0,0
09374150,Püchersreuth,None,0,0,0,0,0,0
16074066,Ottendorf,30,0,0,0,1,1,1
16053000,Jena,10,0,1,1,1,1,1
16074004,Bibra,20,0,0,1,1,1,1
16069041,Schlechtsart,100,0,0,0,0,0,1
16069059,Nahetal-Waldau,100,0,0,0,0,0,1
16067063,Sonneborn,100,0,0,0,0,0,1
16073065,Oberweißbach/Thür. Wald,100,0,0,0,0,0,1
16074051,Lehesten,20,0,0,1,1,1,1
16067047,Molschleben,None,0,0,0,0,0,0
16070049,Stützerbach,100,0,0,0,0,0,1
16071079,Rittersdorf,100,0,0,0,0,0,1
16075105,Solkwitz,10,0,1,1,1,1,1
16074033,Großpürschütz,10,0,1,1,1,1,1
09679118,Bieberehren,0,1,1,1,1,1,1
16070021,Geschwenda,None,0,0,0,0,0,0
16067027,Goldbach,100,0,0,0,0,0,1
16074019,Frauenprießnitz,0,1,1,1,1,1,1
