AGS,year,Land,post_2010,post_2014,Union,SPD,Grüne,FDP,Linke,Andere
09187172,2018,BY,1,1,39.726027397260275,3.7522334723049435,17.33174508636093,4.169148302561048,1.2507444907683145,33.948779035139964
09187173,2008,BY,0,0,49.416342412451364,9.922178988326849,11.86770428015564,7.003891050583658,2.3346303501945527,19.844357976653697
09187173,2013,BY,1,0,54.4753086419753,11.728395061728394,6.790123456790123,0.7716049382716049,0.9259259259259258,25.462962962962965
09187173,2018,BY,1,1,39.823008849557525,4.171934260429835,16.182048040455122,3.4134007585335016,1.0113780025284451,35.65107458912769
09187174,2008,BY,0,0,46.42570281124498,8.433734939759036,14.136546184738954,5.140562248995984,1.7670682730923692,24.176706827309236
09187174,2013,BY,1,0,53.989935298346516,10.2803738317757,8.770668583752697,1.8691588785046727,0.8626887131560028,24.299065420560748
09187174,2018,BY,1,1,38.53718500307314,3.810694529809465,15.24277811923786,4.179471419791026,1.9053472649047325,36.3859864781807
09187176,2008,BY,0,0,48.13046937151949,11.77406523468576,14.160700079554495,7.398568019093078,2.6252983293556085,15.990453460620524
09187176,2013,BY,1,0,54.63847203274216,13.233287858117325,11.459754433833561,2.046384720327422,1.023192360163711,17.735334242837652
09187176,2018,BY,1,1,36.693091732729336,5.775764439411098,18.40317100792752,4.360135900339751,3.6240090600226504,31.257078142695356
09187177,2008,BY,0,0,42.59805989034163,15.942640236187264,13.517503163222269,9.784900885702235,2.8890763390974272,15.309995782370308
09187177,2013,BY,1,0,52.110022607385076,15.410700828937454,10.060286360211004,3.447626224566692,1.3564431047475507,17.633760361718164
09187177,2018,BY,1,1,36.47271531886916,6.574621959237343,20.44707429322814,5.7856673241288625,2.2682445759368837,28.48454963839579
09187179,2008,BY,0,0,51.46520146520146,9.920634920634921,10.683760683760683,8.028083028083028,2.197802197802198,17.765567765567766
09187179,2013,BY,1,0,67.36334405144694,9.994640943193998,7.154340836012862,1.7416934619506965,1.0986066452304395,12.700964630225082
09187179,2018,BY,1,1,48.114493412085416,4.248069059518401,14.447978191731032,4.429804634257155,1.749204906860518,27.055883689232168
09187181,2008,BY,0,0,44.31977559607293,12.552594670406734,12.97335203366059,6.872370266479663,2.9453015427769986,20.476858345021036
09187181,2013,BY,1,0,54.345006485084305,12.840466926070038,7.003891050583658,2.2697795071335927,1.3618677042801557,22.243839169909208
09187181,2018,BY,1,1,40.50913115661317,5.201992252351965,13.22634200332042,4.205866076369674,1.8815716657443278,35.0857775318207
09187182,2008,BY,0,0,36.43122676579926,23.638749179969384,15.963262628471464,7.303739339602011,5.029521102121145,11.655368467089438
09187182,2013,BY,1,0,41.63081335791846,23.43782011882811,13.829133374308544,2.704363859864782,3.64679368981766,14.771563204261422
09187182,2018,BY,1,1,29.53385505273903,10.22456617897244,23.290234773732564,4.661449472609731,6.583872065328343,25.72303504593399
09187186,2008,BY,0,0,52.79329608938548,11.871508379888269,10.05586592178771,4.888268156424581,2.653631284916201,17.877094972067038
09187186,2013,BY,1,0,58.362989323843415,13.523131672597867,5.456702253855279,1.542111506524318,2.135231316725979,19.217081850533805
09187186,2018,BY,1,1,45.10595358224016,5.751765893037336,14.32896064581231,4.742684157416751,1.7154389505549947,28.456104944500503
09187444,2008,BY,0,0,,,,,,
09187444,2013,BY,1,0,,,,,,
09187444,2018,BY,1,1,,,,,,
09187451,2008,BY,0,0,,,,,,
09187451,2013,BY,1,0,,,,,,
09187451,2018,BY,1,1,,,,,,
09187452,2008,BY,0,0,,,,,,
09187452,2013,BY,1,0,,,,,,
09187452,2018,BY,1,1,,,,,,
09188000,2008,BY,0,0,37.1008888094503,17.675446435825357,15.072388411354662,16.03756722941683,2.837040768243342,11.27991810603968
09188000,2013,BY,1,0,43.74835367459829,19.30225070974917,11.976468522258319,9.248690256680423,1.2087686949395615,14.518394942488367
09188000,2018,BY,1,1,31.722244841671156,8.431946834079774,26.547498653777957,9.55226624988508,2.343083045482604,21.40690053717543
09188113,2008,BY,0,0,43.401513028859625,13.58924068366489,10.759316335107872,19.75343233398711,1.8212384421406558,10.703278229195853
09188113,2013,BY,1,0,51.42366224840451,16.224840451644575,9.057437407952872,8.98379970544919,0.7363770250368188,13.598429062346588
09188113,2018,BY,1,1,37.02100021649708,6.4949123186836974,22.364148084000863,10.759904741285993,1.5154795410261963,21.866204806235114
09188117,2008,BY,0,0,43.99008674101611,12.763320941759604,15.613382899628252,10.285006195786865,2.3543990086741013,15.117719950433706
09188117,2013,BY,1,0,50.775193798449614,14.784053156146179,9.191583610188262,5.647840531561462,1.1627906976744187,18.549280177187157
09188117,2018,BY,1,1,39.25459825750242,6.147144240077444,20.183930300096804,5.469506292352372,1.9361084220716358,27.105517909002902
09188118,2008,BY,0,0,42.04825209256524,14.967996061053668,13.44165435745938,18.906942392909897,2.5603151157065485,8.074839980305267
09188118,2013,BY,1,0,47.76523702031603,17.291196388261852,10.609480812641085,9.887133182844243,1.0835214446952595,13.408577878103836
09188118,2018,BY,1,1,37.2168284789644,8.13106796116505,25.88996763754045,9.749190938511326,1.9822006472491909,17.03074433656958
09188120,2008,BY,0,0,36.48346975656426,16.976719464228765,17.05113213564367,18.177952588497927,2.93398533007335,8.387371106622728
09188120,2013,BY,1,0,41.408852927177534,19.771537363160398,12.70823417420276,12.50832936696811,1.170871013802951,12.45121370775821
09188120,2018,BY,1,1,29.67486818980668,8.567662565905097,29.253075571177504,12.152899824253076,2.73286467486819,17.636203866432336
09188121,2008,BY,0,0,33.19916904700078,24.227473383536744,13.334198909374189,12.373409504024929,3.518566606076344,13.347182549987016
09188121,2013,BY,1,0,43.13120931825968,23.455521297247916,10.677172547676145,6.189334246888204,1.7814319972593355,14.77675002854859
09188121,2018,BY,1,1,29.03225806451613,11.854343954086682,22.54106471403127,6.431822679596279,2.3847219473580052,27.77557886404116
09188124,2008,BY,0,0,36.190080929653455,17.804523760116204,15.833160406723387,15.252126997302346,3.091927785847686,11.848931313550528
09188124,2013,BY,1,0,42.78447626224567,19.78146194423512,14.902034664657121,8.49660889223813,1.3376036171816126,12.697814619442353
09188124,2018,BY,1,1,31.21504829689883,8.185053380782918,28.673106253177426,9.1170987968141,2.796136248093543,20.01355702423318
09188126,2008,BY,0,0,36.33251833740832,12.37163814180929,19.853300733496333,15.501222493887532,2.5427872860635694,13.447432762836186
09188126,2013,BY,1,0,47.53009547530095,17.268576172685762,13.698630136986301,7.38895807388958,0.7471980074719801,13.449564134495642
09188126,2018,BY,1,1,32.50183418928834,6.933235509904623,28.319882611885543,8.620689655172415,2.054292002934703,21.643433602347763
09188127,2008,BY,0,0,38.87722980062959,16.55299055613851,15.661070304302205,15.21511017838405,3.2004197271773345,10.519412381951732
09188127,2013,BY,1,0,43.44811095169776,21.52080344332855,11.836441893830703,10.043041606886657,1.2673362027737924,11.884265901482543
09188127,2018,BY,1,1,32.50569476082005,9.88610478359909,27.585421412300683,10.774487471526196,2.072892938496583,17.243735763097952
09188132,2008,BY,0,0,29.70687711386697,18.940248027057496,18.1510710259301,17.587373167981962,2.733934611048478,12.908680947012401
09188132,2013,BY,1,0,42.572006063668525,18.923698837796866,13.996968165740272,9.146033350176857,1.3390601313794845,14.047498736735726
09188132,2018,BY,1,1,31.25,8.138992537313433,28.031716417910445,8.348880597014926,3.078358208955224,21.175373134328357
09188137,2008,BY,0,0,40.73806078147612,16.244573082489147,12.301013024602025,16.172214182344426,2.6410998552822,11.939218523878436
09188137,2013,BY,1,0,41.46903820816864,18.017127799736496,9.650856389986824,7.114624505928854,1.251646903820817,22.529644268774703
09188137,2018,BY,1,1,34.01075911536163,8.248655110579797,25.164375373580395,9.444112372982666,2.211595935445308,20.95038852361028
09188139,2008,BY,0,0,41.05039582931067,16.229001737787218,12.927206024329022,17.63854025873721,2.8480401621934734,9.326124734504731
09188139,2013,BY,1,0,43.64538127712338,18.209193162695954,10.99105482242494,11.39845894960588,1.1247896554778143,14.639978744132495
09188139,2018,BY,1,1,32.07442596991291,7.418844022169438,25.05938242280285,11.575613618368962,2.343626286619161,21.54394299287411
09188141,2008,BY,0,0,40.707964601769916,15.993956399740988,12.454133390891432,16.29613641269156,2.8491258363911074,11.720267645154328
09188141,2013,BY,1,0,45.820925153861424,18.364105618423665,10.780226325193567,7.385348421679572,0.8933889219773675,16.756005558864402
09188141,2018,BY,1,1,32.46341033327455,6.665491095044966,27.808146711338388,9.081290777640627,1.8515253041791573,22.14776935284782
09188144,2008,BY,0,0,24.478594950603732,26.30808635199415,19.392608854738384,10.684229784120014,1.9758507135016465,17.197219173069886
09188144,2013,BY,1,0,36.28620102214651,19.86371379897785,16.183986371379895,8.960817717206133,0.8858603066439523,17.85349233390119
09188144,2018,BY,1,1,25.92922985429676,9.485578352661314,32.35206660719596,6.95807314897413,2.4977698483496877,22.77728218852215
09188145,2008,BY,0,0,30.996015936254977,16.653386454183266,21.593625498007967,15.0597609561753,2.8685258964143427,12.908366533864543
09188145,2013,BY,1,0,43.241330502477,18.612880396319888,15.074309978768577,8.174097664543524,1.521585279547063,13.411181882519463
09188145,2018,BY,1,1,31.61695447409733,8.069073783359498,30.4552590266876,8.194662480376765,2.291993720565149,19.43485086342229
09188444,2008,BY,0,0,,,,,,
09188444,2013,BY,1,0,,,,,,
09188444,2018,BY,1,1,,,,,,
09188451,2008,BY,0,0,,,,,,
09188451,2013,BY,1,0,,,,,,
09188451,2018,BY,1,1,,,,,,
09189000,2008,BY,0,0,43.31944462933134,13.19205015907669,18.76705581661586,5.93176342167969,3.206826320203405,15.584190838780101
09189000,2013,BY,1,0,54.36129047716028,14.802391192361602,10.846621063098247,2.1432079834197886,1.5897356031291554,16.25795167299606
09189000,2018,BY,1,1,39.924980463662415,7.612399062255795,18.349570200573066,3.5342537119041415,2.6110966397499347,27.970825735868715
09189111,2008,BY,0,0,43.09278350515464,16.597938144329895,15.206185567010309,4.175257731958762,2.8350515463917527,18.09278350515464
09189111,2013,BY,1,0,53.712406015037594,17.763157894736842,9.398496240601503,1.362781954887218,1.3157894736842104,16.541353383458645
09189111,2018,BY,1,1,37.87566899958831,8.563194730341705,16.220666941128037,3.046521202140799,2.428983120625772,31.906134211609714
09189113,2008,BY,0,0,40.3485254691689,13.494191242180516,21.134941912421805,6.881143878462913,3.9767649687220734,14.209115281501342
09189113,2013,BY,1,0,48.27312425565701,15.323541087733227,15.00595474394601,4.088924176260421,1.5085351329892815,15.879317189360858
09189113,2018,BY,1,1,33.2533424751457,12.272883099074392,20.980459376071305,5.519369214946863,2.125471374700034,25.917038052793966
09189114,2008,BY,0,0,39.697859840537134,10.742761225346202,21.779269827947964,7.007973143096937,2.8955098615190935,17.96055392362568
09189114,2013,BY,1,0,48.9938080495356,12.306501547987617,17.221362229102166,2.7476780185758516,1.238390092879257,17.569659442724458
09189114,2018,BY,1,1,39.23363852153272,5.629026788741946,23.533401152933198,3.9335367921329265,2.271956595456087,25.466259749067483
09189115,2008,BY,0,0,52.25390984360626,9.107635694572217,11.499540018399264,5.979760809567617,2.2999080036798527,18.859245630174794
09189115,2013,BY,1,0,60.9472049689441,10.326086956521738,6.521739130434782,1.8633540372670807,1.1645962732919255,19.25465838509317
09189115,2018,BY,1,1,48.707482993197274,5.170068027210884,10.952380952380953,3.8095238095238098,2.380952380952381,29.04761904761905
09189118,2008,BY,0,0,43.02325581395349,11.78646934460888,26.691331923890065,4.334038054968287,2.2198731501057085,11.997885835095138
09189118,2013,BY,1,0,56.36896046852124,14.73889702293802,10.736944851146902,1.7081503172279162,1.171303074670571,15.324548560273305
09189118,2018,BY,1,1,44.90060501296456,8.340535868625757,17.2428694900605,2.7225583405358686,1.598962834917891,25.237683664649957
09189119,2008,BY,0,0,41.521961184882535,11.389172625127681,17.67109295199183,5.822267620020429,3.1154239019407557,20.531154239019408
09189119,2013,BY,1,0,54.85458612975391,13.60178970917226,10.64876957494407,2.7293064876957494,1.0738255033557047,17.181208053691275
09189119,2018,BY,1,1,39.6769109535067,7.092198581560284,19.109535066981877,3.7825059101654848,2.6004728132387704,27.77777777777778
09189120,2008,BY,0,0,36.26168224299066,20.411214953271028,10.2803738317757,8.0,3.7383177570093453,21.345794392523366
09189120,2013,BY,1,0,48.67316090023513,18.609338259993283,6.852536110178031,2.8552233792408463,1.8810883439704402,21.16224386966745
09189120,2018,BY,1,1,35.24428127647557,9.686529229031347,16.21011013837899,4.236091499576391,2.5698955097430103,32.08133295679187
09189124,2008,BY,0,0,43.824511206485454,15.92751549833095,16.070577014783023,7.057701478302336,3.2427277062470194,13.972341440152599
09189124,2013,BY,1,0,56.819118252987224,13.803049031726411,9.559126493613515,1.7717346518335393,1.3185002060156572,16.76967449526164
09189124,2018,BY,1,1,44.77345701034606,7.420620763467713,15.519086692829113,3.8173385658223333,2.5330003567606134,25.972172672136995
09189126,2008,BY,0,0,48.08259587020649,11.35693215339233,19.911504424778762,3.687315634218289,1.9174041297935103,15.191740412979351
